@RELATIO-1 aclImdb-first10

@ATTRIBUTE the -1UMERIC
@ATTRIBUTE and -1UMERIC
@ATTRIBUTE a -1UMERIC
@ATTRIBUTE of -1UMERIC
@ATTRIBUTE to -1UMERIC
@ATTRIBUTE is -1UMERIC
@ATTRIBUTE it -1UMERIC
@ATTRIBUTE in -1UMERIC
@ATTRIBUTE i -1UMERIC
@ATTRIBUTE this -1UMERIC
@ATTRIBUTE pos {1,-1}

@DATA
4,3,3,3,0,4,3,4,4,3,-1
4,0,3,1,2,4,2,4,0,3,-1
7,2,3,2,3,1,4,1,0,2,-1
25,13,9,9,12,11,11,4,0,6,-1
2,2,2,0,2,0,2,0,0,1,-1
8,3,1,4,1,4,0,2,1,1,-1
1,0,4,4,2,1,1,1,0,3,-1
8,3,4,6,2,4,2,1,2,5,-1
4,5,5,1,3,0,3,0,5,0,-1
5,4,6,6,5,3,0,0,0,2,-1
17,12,10,7,6,4,6,7,0,0,-1
12,4,7,3,8,4,5,6,1,3,-1
34,15,17,12,9,7,1,11,0,2,-1
14,4,9,5,5,3,1,3,2,5,-1
10,4,8,3,5,2,1,2,3,2,-1
26,5,6,9,3,7,3,9,1,0,-1
14,7,12,6,6,5,4,3,1,4,-1
15,10,3,2,3,9,0,2,1,3,-1
16,14,19,12,8,4,1,4,0,2,-1
6,3,6,3,0,7,1,2,4,5,-1
18,11,5,6,10,5,2,5,3,5,-1
37,14,23,16,19,5,12,16,4,7,-1
6,2,13,2,7,2,2,5,5,2,-1
4,2,2,3,0,4,0,1,1,2,-1
13,3,6,0,5,4,2,0,0,1,-1
4,1,1,2,0,3,0,1,2,2,-1
11,3,3,2,0,2,1,5,0,2,-1
4,3,6,3,3,0,1,0,0,0,-1
14,1,1,2,2,2,2,2,3,2,-1
8,7,10,5,6,3,3,6,12,7,-1
9,5,6,5,5,4,4,3,1,6,-1
12,0,2,0,3,1,8,1,1,2,-1
9,5,2,3,6,1,2,3,1,2,-1
4,3,2,1,2,0,1,1,1,2,-1
9,2,5,3,3,2,1,3,3,4,-1
10,4,1,6,1,1,2,2,3,3,-1
11,1,2,4,5,1,2,1,3,4,-1
9,3,4,2,2,4,3,2,1,1,-1
7,1,3,3,3,4,0,2,1,2,-1
18,4,1,8,3,3,4,3,2,3,-1
12,3,4,2,5,2,6,3,7,0,-1
11,6,4,4,3,0,5,2,0,3,-1
12,5,3,6,5,1,6,3,6,5,-1
21,5,10,14,5,3,4,5,3,10,-1
9,7,7,4,4,1,3,3,2,4,-1
9,8,7,5,4,2,6,2,6,8,-1
35,9,11,7,8,6,9,7,3,4,-1
4,1,3,1,2,0,2,3,6,2,-1
6,4,1,4,3,1,3,1,2,1,-1
18,7,9,4,2,4,1,1,1,1,-1
10,3,1,2,1,2,3,1,0,1,-1
7,2,2,2,4,0,6,2,7,1,-1
14,9,3,7,4,4,3,0,0,3,-1
11,4,3,5,4,3,1,0,1,4,-1
5,1,6,3,7,0,3,2,3,5,-1
18,7,15,11,8,5,9,7,1,1,-1
12,9,5,9,5,1,2,2,2,0,-1
2,1,3,0,0,3,1,0,1,2,-1
2,6,0,2,0,1,3,1,9,12,-1
25,9,15,8,13,17,3,9,2,7,-1
22,3,5,9,11,2,4,4,2,2,-1
17,11,13,6,7,6,10,7,1,3,-1
19,8,11,11,7,7,8,5,6,3,-1
10,8,8,6,3,7,3,4,0,4,-1
5,2,4,2,5,1,0,2,0,1,-1
17,7,10,7,6,5,5,5,1,4,-1
2,1,2,2,3,0,0,1,0,2,-1
1,5,3,0,2,3,2,1,0,2,-1
20,9,6,8,8,6,2,5,3,5,-1
10,5,2,3,3,1,4,1,5,0,-1
12,4,6,3,8,3,2,2,5,3,-1
22,7,5,5,7,4,2,0,1,5,-1
10,2,2,4,6,1,5,0,5,3,-1
11,9,6,10,5,8,4,2,5,4,-1
31,8,15,11,14,11,3,4,0,2,-1
12,2,3,4,0,5,4,3,1,2,-1
11,2,1,2,2,1,1,3,1,1,-1
7,3,2,6,3,2,5,2,6,3,-1
3,8,9,1,5,4,6,1,3,2,-1
33,25,21,28,26,10,7,13,5,7,-1
10,7,7,6,5,3,5,6,5,4,-1
9,10,4,2,6,2,8,2,5,5,-1
8,0,3,3,3,5,3,2,2,3,-1
9,6,5,4,7,5,2,4,1,3,-1
5,4,4,2,7,2,6,2,3,5,-1
27,17,4,12,17,4,4,11,0,6,-1
23,2,8,6,8,5,3,4,3,0,-1
12,3,5,2,1,2,4,2,4,1,-1
4,2,3,6,4,1,3,4,3,2,-1
9,4,2,5,3,5,2,1,3,0,-1
13,4,7,7,7,4,5,8,6,2,-1
10,2,3,3,1,1,0,5,4,2,-1
10,5,6,5,9,4,5,2,18,4,-1
7,2,2,2,2,1,5,1,1,3,-1
23,6,6,11,5,9,1,1,0,1,-1
10,5,7,2,7,6,1,2,3,0,-1
27,11,19,11,15,9,11,11,5,6,-1
8,2,4,2,2,2,1,4,3,2,-1
26,12,6,15,4,4,5,2,1,7,-1
11,7,6,6,4,6,2,6,1,3,-1
36,21,10,16,17,7,11,10,15,5,-1
6,2,2,0,3,1,4,0,5,1,-1
10,4,4,0,4,8,4,0,0,0,-1
6,1,2,3,3,4,1,3,1,3,-1
27,15,11,12,11,4,3,10,0,4,-1
9,0,5,3,6,2,5,3,4,5,-1
5,2,1,2,3,2,2,1,2,1,-1
3,4,3,2,2,6,4,4,5,6,-1
0,2,1,2,1,0,1,1,0,0,-1
23,14,14,11,7,5,3,4,2,2,-1
12,3,16,2,5,6,4,4,3,7,-1
24,3,3,4,7,2,3,10,0,4,-1
28,9,9,10,6,10,4,6,4,7,-1
78,31,15,25,10,9,11,21,7,8,-1
8,2,2,1,4,1,3,1,8,3,-1
20,3,7,4,9,1,10,5,13,3,-1
7,1,3,5,4,2,2,4,3,1,-1
2,1,1,2,3,0,1,6,4,3,-1
7,3,3,3,2,0,0,1,1,4,-1
43,15,7,26,18,4,13,9,7,8,-1
7,8,6,6,10,7,4,1,5,7,-1
6,4,5,3,4,1,0,0,4,3,-1
12,4,4,3,6,2,4,2,0,2,-1
21,14,14,9,15,7,2,8,6,2,-1
16,5,13,5,9,5,4,0,1,1,-1
7,6,4,2,1,4,1,1,2,3,-1
12,1,4,3,3,6,0,2,3,1,-1
4,3,6,0,3,3,0,0,1,4,-1
28,16,13,15,1,9,4,7,0,2,-1
8,4,4,2,0,5,2,1,0,2,-1
12,4,3,7,7,5,2,1,0,5,-1
14,4,7,6,7,7,2,5,5,3,-1
6,6,4,1,4,1,7,1,2,2,-1
7,2,4,7,2,4,2,3,3,3,-1
16,9,6,2,7,1,1,8,5,4,-1
6,1,3,4,3,2,3,1,4,4,-1
5,1,0,3,5,5,5,1,4,5,-1
8,6,2,4,5,1,1,2,3,4,-1
2,0,3,2,0,1,4,1,1,2,-1
3,5,5,4,4,3,5,3,4,4,-1
3,3,0,0,0,0,0,1,1,2,-1
3,1,0,0,1,0,0,1,0,1,-1
18,8,6,9,11,4,0,1,2,1,-1
2,1,1,2,1,0,2,1,1,1,-1
4,3,4,3,5,3,3,2,0,1,-1
12,1,2,3,2,1,1,3,2,1,-1
2,0,1,1,3,1,3,1,2,2,-1
4,2,3,1,1,2,2,2,2,2,-1
1,3,6,3,2,3,1,0,0,2,-1
10,1,2,3,3,5,2,3,1,5,-1
9,4,2,2,5,5,3,2,1,4,-1
17,7,8,11,5,4,7,6,1,6,-1
7,3,3,3,10,2,1,2,2,0,-1
13,6,8,11,4,8,1,7,3,3,-1
5,1,2,4,4,5,4,2,3,3,-1
5,4,5,2,4,2,4,2,7,5,-1
11,5,6,2,3,1,2,3,5,3,-1
2,2,2,2,1,2,1,0,0,3,-1
3,1,7,1,4,3,1,3,1,4,-1
5,0,4,0,1,6,1,1,0,2,-1
1,3,8,0,0,0,3,3,0,2,-1
31,10,17,15,12,8,5,9,1,5,-1
6,6,8,5,5,4,10,2,4,5,-1
4,2,2,2,2,2,2,3,8,7,-1
2,4,5,2,5,1,4,2,10,4,-1
8,2,9,5,6,4,1,1,3,6,-1
5,6,2,5,3,2,2,1,7,5,-1
56,27,28,18,23,15,15,17,7,10,-1
7,6,2,1,2,0,6,2,3,1,-1
3,1,3,3,3,2,0,1,2,2,-1
10,4,6,2,4,4,2,2,4,3,-1
10,6,9,3,0,4,3,3,5,5,-1
3,2,2,0,0,1,0,0,4,4,-1
3,1,2,0,2,3,1,2,1,3,-1
1,1,1,3,1,3,2,0,3,4,-1
3,2,3,2,2,2,4,2,2,1,-1
11,5,1,5,2,1,3,1,1,2,-1
14,2,4,2,1,0,0,0,2,2,-1
10,3,2,3,4,3,2,5,4,2,-1
6,3,1,2,4,2,0,5,2,1,-1
55,38,26,35,20,24,6,16,9,6,-1
17,9,5,8,6,3,0,4,3,4,-1
12,1,0,3,4,2,6,3,7,3,-1
19,4,7,6,3,3,5,2,4,2,-1
6,4,3,1,1,4,4,2,4,3,-1
16,7,2,5,3,8,4,5,2,3,-1
15,12,7,13,9,14,1,7,5,4,-1
8,5,5,5,5,4,0,1,2,1,-1
22,8,2,9,12,0,1,4,2,5,-1
11,2,4,4,4,1,3,5,5,4,-1
13,6,3,10,5,1,0,4,2,3,-1
12,6,6,6,7,5,6,4,7,1,-1
19,8,7,6,8,5,3,4,4,1,-1
12,5,0,4,2,2,2,1,3,1,-1
5,3,3,1,3,1,2,0,2,2,-1
2,4,3,1,2,1,2,3,8,2,-1
8,4,3,2,1,0,5,4,10,0,-1
5,5,1,1,3,2,7,1,7,2,-1
9,2,2,2,7,1,4,0,3,1,-1
11,7,6,9,9,7,3,6,4,2,-1
10,4,7,6,5,1,3,0,4,2,-1
15,10,15,11,7,4,1,5,10,2,-1
9,4,3,4,3,1,5,2,4,3,-1
13,4,2,7,8,3,7,2,6,4,-1
12,11,4,1,6,4,5,0,0,3,-1
42,21,21,17,14,24,6,11,2,9,-1
8,3,2,2,5,3,5,4,3,3,-1
28,8,7,12,8,9,9,3,6,4,-1
7,4,5,2,2,3,5,2,4,4,-1
5,1,1,4,2,2,7,2,4,2,-1
16,2,1,3,3,6,1,2,2,2,-1
19,14,4,9,6,4,2,3,3,4,-1
14,6,10,13,5,2,3,3,10,5,-1
14,7,10,7,7,5,7,3,4,6,-1
15,16,15,11,6,10,16,5,17,7,-1
10,5,5,2,3,8,6,3,3,6,-1
18,16,13,20,14,7,6,5,5,7,-1
22,13,13,29,19,11,4,8,3,7,-1
18,9,9,9,11,5,11,9,7,6,-1
10,7,7,5,3,1,9,3,4,4,-1
8,5,4,7,0,1,3,2,1,3,-1
3,0,3,3,1,2,0,1,2,6,-1
12,2,1,5,2,7,1,4,2,1,-1
3,5,9,2,6,4,3,2,6,2,-1
13,4,2,5,4,3,4,5,4,2,-1
8,10,7,5,6,4,0,5,3,1,-1
7,4,2,7,1,3,1,1,3,5,-1
4,6,3,10,5,5,1,1,7,8,-1
3,1,2,3,1,1,0,1,3,0,-1
12,4,7,2,8,2,6,4,2,5,-1
3,3,3,1,3,2,1,0,5,6,-1
16,12,6,10,12,4,2,5,0,4,-1
2,2,1,2,4,0,1,2,4,2,-1
13,7,4,3,7,6,0,4,0,1,-1
54,14,15,20,22,9,5,10,14,5,-1
12,5,4,3,6,1,2,3,5,1,-1
19,3,6,5,2,7,3,2,4,2,-1
7,3,2,4,3,2,5,1,2,1,-1
3,2,0,0,2,0,1,1,1,1,-1
6,3,3,3,2,1,2,1,1,1,-1
5,1,0,4,0,1,1,2,1,1,-1
7,3,3,3,0,4,0,0,0,3,-1
4,4,7,3,3,1,2,0,1,2,-1
5,3,1,2,5,1,3,0,2,1,-1
6,2,4,3,4,3,7,1,6,3,-1
9,3,7,3,3,5,4,4,2,4,-1
8,3,3,2,2,3,3,2,3,1,-1
14,5,5,5,7,1,9,5,4,3,-1
29,9,21,17,13,10,15,4,16,6,-1
31,7,8,11,4,3,8,2,6,2,-1
6,4,5,1,1,4,6,2,3,3,-1
11,2,2,4,2,3,0,0,1,5,-1
2,0,3,2,2,1,1,2,11,4,-1
5,1,1,2,1,0,0,0,2,5,-1
7,2,5,3,3,3,4,1,3,5,-1
5,1,1,2,1,4,3,0,3,3,-1
5,4,8,4,6,1,5,4,3,2,-1
9,8,5,4,3,3,2,5,0,2,-1
3,3,6,3,1,3,4,0,2,1,-1
27,6,10,21,18,7,21,9,7,7,-1
9,5,1,3,4,0,4,6,7,4,-1
9,4,5,3,2,4,0,2,0,3,-1
6,9,3,1,4,0,1,1,0,0,-1
17,11,4,7,6,5,7,6,4,2,-1
13,5,8,13,5,7,9,3,1,2,-1
3,2,3,2,3,3,0,2,5,6,-1
10,5,8,6,5,14,3,2,2,4,-1
1,1,1,4,2,0,1,0,2,3,-1
7,1,2,2,4,4,2,1,3,2,-1
2,2,1,0,0,1,0,1,0,1,-1
8,5,7,5,8,2,6,2,4,4,-1
14,2,7,5,3,5,4,8,3,5,-1
9,8,4,2,4,7,8,1,6,4,-1
19,10,17,11,8,5,4,8,6,7,-1
2,1,2,1,1,1,5,1,3,2,-1
4,4,5,5,2,1,6,6,3,5,-1
16,5,8,1,13,9,1,6,5,3,-1
7,4,13,1,9,2,9,3,1,3,-1
6,3,6,3,3,0,0,1,3,0,-1
26,8,4,3,4,0,1,4,6,3,-1
5,6,3,5,3,1,2,1,0,1,-1
13,6,0,2,0,10,0,1,0,1,-1
7,6,3,6,2,5,6,6,12,1,-1
17,3,4,3,4,2,7,3,4,2,-1
9,4,13,7,7,1,3,4,6,1,-1
15,4,5,2,8,8,1,5,1,4,-1
9,3,4,4,2,3,0,3,0,3,-1
31,12,15,9,6,5,10,8,2,4,-1
6,3,4,2,2,3,2,0,3,5,-1
12,4,2,1,4,4,2,1,2,1,-1
5,3,10,6,2,2,4,3,1,1,-1
9,3,2,3,2,2,2,1,1,3,-1
8,0,1,2,1,0,12,5,1,1,-1
18,4,2,4,6,2,4,1,3,5,-1
8,6,2,1,2,0,2,0,5,3,-1
12,3,1,1,3,4,2,1,5,1,-1
5,5,5,2,0,0,3,3,3,2,-1
11,7,3,6,5,4,8,5,9,4,-1
25,16,14,9,9,2,4,6,18,9,-1
10,4,1,1,5,1,3,4,7,2,-1
5,3,7,2,2,1,2,1,5,3,-1
2,5,8,3,9,1,5,3,5,5,-1
7,0,0,3,1,2,0,1,4,4,-1
15,6,6,7,8,4,2,3,1,4,-1
3,1,6,1,2,2,3,1,8,2,-1
1,7,5,1,1,2,0,0,0,0,-1
19,18,11,6,11,18,6,2,2,4,-1
12,7,9,6,7,6,7,4,6,3,-1
3,3,2,2,1,4,1,1,3,2,-1
20,14,8,5,6,4,9,7,2,4,-1
3,0,0,2,1,0,3,0,4,3,-1
7,4,1,6,5,1,2,0,4,3,-1
10,1,2,3,6,5,1,0,5,2,-1
14,4,3,4,0,0,5,3,6,1,-1
8,3,3,3,5,4,4,4,4,3,-1
5,2,7,1,7,2,3,5,9,4,-1
7,2,3,4,8,3,2,0,2,2,-1
8,6,4,6,3,4,5,2,3,1,-1
16,4,10,3,4,4,2,3,1,7,-1
8,3,7,0,4,2,2,2,2,2,-1
18,13,25,14,15,5,5,6,9,6,-1
25,13,7,11,3,6,4,4,5,4,-1
10,3,3,3,4,2,5,2,4,3,-1
16,2,4,2,4,3,1,1,1,4,-1
48,20,13,12,13,6,8,12,8,3,-1
0,0,0,0,0,1,1,0,0,1,-1
1,3,2,2,3,0,6,2,6,1,-1
21,4,11,10,10,1,4,2,5,5,-1
5,2,4,2,3,1,5,0,7,6,-1
16,9,14,14,20,5,8,2,9,7,-1
20,5,2,5,8,2,9,1,14,3,-1
39,30,18,18,30,16,12,14,16,21,-1
8,6,1,3,3,2,1,3,3,3,-1
13,1,2,6,8,1,3,7,8,6,-1
8,5,6,3,2,4,3,1,0,3,-1
3,1,4,1,5,2,5,1,3,2,-1
9,4,0,1,2,4,2,1,4,2,-1
16,7,10,5,8,4,11,6,6,4,-1
5,5,7,4,3,4,4,7,1,5,-1
9,3,6,0,8,4,1,1,0,3,-1
18,14,8,4,13,10,5,6,8,14,-1
2,4,10,8,4,5,10,1,0,2,-1
17,6,5,3,6,7,7,4,5,3,-1
10,3,2,4,4,0,2,1,0,0,-1
16,3,3,5,5,5,5,6,1,4,-1
10,6,5,5,6,5,3,6,4,4,-1
18,6,8,1,6,2,5,4,6,4,-1
5,3,1,2,2,0,4,1,1,4,-1
12,3,5,5,8,2,3,1,6,5,-1
55,39,15,21,28,9,18,23,13,12,-1
21,10,10,5,10,2,8,2,7,0,-1
22,12,10,6,8,2,9,9,5,2,-1
32,11,12,8,9,4,12,9,4,5,-1
30,9,9,8,14,4,3,8,2,5,-1
11,1,2,1,8,2,2,4,5,2,-1
10,6,7,2,5,2,9,4,6,5,-1
1,4,6,1,4,1,5,2,2,2,-1
0,1,1,2,2,0,0,0,1,3,-1
13,8,3,3,5,2,4,5,9,5,-1
9,3,2,2,4,2,3,0,1,1,-1
7,2,5,5,5,2,0,3,1,2,-1
2,0,1,0,0,1,3,2,1,2,-1
8,3,1,1,2,2,4,2,1,1,-1
4,0,3,1,1,4,4,1,0,2,-1
5,1,2,5,1,0,2,1,1,2,-1
10,6,1,3,4,2,7,0,2,7,-1
6,2,3,2,4,1,5,1,10,10,-1
9,2,2,2,7,5,6,3,4,2,-1
12,4,3,7,5,1,9,4,2,4,-1
12,12,13,4,4,5,3,3,3,5,-1
5,2,1,4,6,5,3,2,3,6,-1
6,1,2,2,3,1,3,2,8,3,-1
6,2,6,2,3,4,3,3,5,5,-1
8,6,6,2,3,6,4,1,4,5,-1
12,1,2,2,4,1,4,7,3,5,-1
41,13,25,21,17,21,12,13,11,19,-1
5,5,1,0,4,6,4,0,3,7,-1
11,6,3,8,4,4,2,3,2,4,-1
12,8,4,7,12,5,8,3,14,8,-1
8,3,1,1,2,2,4,2,1,1,-1
5,4,3,5,4,2,0,3,1,1,-1
3,2,2,1,1,2,1,0,3,3,-1
5,3,8,3,2,6,3,3,0,0,-1
12,12,15,7,6,4,2,7,0,4,-1
18,11,18,5,16,13,9,9,3,6,-1
11,10,8,6,4,2,3,8,1,0,-1
33,11,12,10,26,14,16,10,1,6,-1
10,10,4,4,4,3,4,5,4,3,-1
22,15,12,9,13,8,8,10,7,8,-1
12,2,4,4,2,0,2,2,6,2,-1
32,21,9,16,22,2,2,13,4,6,-1
16,9,4,6,0,5,6,6,3,1,-1
42,33,21,22,16,16,4,18,1,5,-1
18,7,7,6,4,1,2,1,2,3,-1
14,7,4,4,11,3,11,3,2,1,-1
17,9,9,10,11,8,8,4,2,8,-1
5,1,5,6,1,3,1,0,6,3,-1
3,6,4,2,7,11,1,0,8,3,-1
19,3,3,3,5,8,1,9,6,6,-1
7,5,5,4,2,3,1,3,4,2,-1
9,1,5,1,5,3,2,2,4,1,-1
19,9,11,9,13,5,3,6,8,6,-1
7,4,10,2,8,3,4,4,0,1,-1
12,9,8,2,4,8,2,4,0,3,-1
2,4,0,1,1,4,3,0,2,3,-1
6,2,4,2,3,4,6,5,3,3,-1
5,0,0,0,0,4,1,0,3,1,-1
10,3,2,2,6,3,4,3,2,2,-1
2,0,0,2,0,1,1,1,0,2,-1
10,2,2,1,8,4,3,4,2,2,-1
6,4,1,3,3,3,4,1,1,2,-1
0,1,0,0,0,1,0,0,0,1,-1
16,10,17,10,8,9,8,4,5,13,-1
5,1,7,3,2,1,2,0,1,1,-1
11,6,11,7,5,5,3,6,3,5,-1
10,2,4,3,6,3,9,3,3,3,-1
5,4,2,5,1,3,4,0,1,2,-1
50,23,24,22,17,8,11,15,2,3,-1
17,9,7,1,11,6,8,7,7,3,-1
5,4,7,4,3,2,6,2,4,3,-1
38,19,15,16,15,10,6,15,1,8,-1
11,8,2,6,5,4,4,3,1,0,-1
8,5,2,3,2,4,3,0,2,0,-1
3,0,2,4,1,2,3,0,0,2,-1
7,3,4,5,4,1,4,3,4,5,-1
3,2,4,5,6,0,3,2,1,2,-1
8,1,0,5,5,1,1,1,1,3,-1
16,5,10,11,8,5,5,3,12,6,-1
18,8,1,6,6,1,2,6,1,4,-1
1,3,2,1,5,2,3,0,2,1,-1
5,1,1,2,3,2,1,0,2,3,-1
10,7,8,4,2,2,5,2,5,3,-1
10,5,8,6,9,1,11,4,9,8,-1
3,0,2,0,1,0,1,0,1,4,-1
4,2,3,0,4,1,0,0,0,0,-1
2,3,4,1,4,3,5,2,2,2,-1
9,8,5,3,0,2,2,4,1,4,-1
3,1,1,0,1,0,3,3,4,1,-1
3,1,8,4,1,2,1,1,1,1,-1
35,16,19,15,13,9,5,10,0,2,-1
12,4,5,5,8,2,3,2,5,2,-1
10,7,3,2,5,0,9,1,4,2,-1
6,5,5,3,3,1,0,0,1,2,-1
7,2,4,3,3,0,4,1,5,1,-1
31,9,11,13,12,3,6,4,15,1,-1
5,4,6,2,11,0,3,2,1,4,-1
6,3,2,2,1,1,7,1,10,1,-1
6,1,3,3,4,1,0,0,0,0,-1
11,4,5,10,4,2,0,3,0,0,-1
15,2,0,4,3,6,3,3,2,3,-1
10,2,6,4,2,1,0,3,0,1,-1
10,2,1,4,3,6,2,2,0,4,-1
0,3,7,1,0,0,2,2,0,1,-1
2,2,0,1,4,1,1,0,4,3,-1
7,5,1,5,2,3,3,5,0,3,-1
30,19,12,10,10,10,5,7,11,15,-1
13,5,9,10,10,6,0,6,1,3,-1
12,3,5,5,6,5,5,3,2,3,-1
6,3,0,0,1,0,0,0,2,0,-1
10,4,6,3,7,4,5,1,6,3,-1
6,5,0,2,2,3,1,0,2,3,-1
26,12,8,11,14,1,9,4,4,3,-1
40,19,13,14,24,4,8,8,4,2,-1
21,13,4,4,5,1,14,3,7,3,-1
29,18,9,9,8,9,5,6,5,1,-1
42,17,7,10,7,11,10,15,14,3,-1
21,7,8,6,3,3,5,4,8,3,-1
11,8,8,4,7,6,6,1,15,8,-1
2,2,2,2,0,1,10,2,8,0,-1
19,13,14,4,8,3,16,7,14,4,-1
4,5,5,1,3,0,1,2,4,2,-1
20,4,3,5,3,0,7,5,4,3,-1
13,4,5,1,3,5,0,2,5,5,-1
15,4,4,1,5,2,6,1,8,4,-1
13,8,7,4,7,0,2,5,2,4,-1
12,6,5,6,3,1,2,3,0,4,-1
3,3,4,3,3,3,0,1,4,2,-1
1,0,1,2,0,0,1,1,1,1,-1
8,1,2,2,5,0,0,1,2,1,-1
7,2,10,1,2,3,2,2,4,5,-1
5,4,1,2,0,4,0,0,1,2,-1
13,1,5,7,2,4,1,3,1,3,-1
8,9,6,4,4,0,1,5,6,5,-1
20,6,11,10,10,8,2,6,5,11,-1
12,8,9,4,7,6,6,3,9,7,-1
10,2,2,3,3,1,0,3,3,4,-1
23,16,8,14,12,14,5,10,6,8,-1
15,9,6,11,11,8,5,3,7,8,-1
7,1,2,3,2,3,3,4,4,3,-1
20,7,10,4,9,5,2,3,0,5,-1
14,7,4,6,5,3,3,1,3,3,-1
30,6,16,15,10,12,9,8,5,1,-1
6,2,3,4,2,2,0,3,2,1,-1
42,27,27,29,14,15,4,16,12,11,-1
11,6,10,6,4,7,0,4,3,2,-1
12,6,7,7,3,4,0,4,0,3,-1
4,0,2,2,2,1,0,0,0,2,-1
9,4,3,5,0,7,0,0,0,2,-1
20,7,6,6,5,0,3,1,1,0,-1
10,3,1,2,5,4,4,3,4,2,-1
11,1,2,5,5,3,2,2,0,4,-1
34,16,21,13,9,5,5,7,7,6,-1
8,4,0,3,2,4,3,1,1,4,-1
4,1,5,0,5,2,1,1,5,2,-1
8,3,3,3,3,0,5,0,2,3,-1
5,1,2,3,4,3,10,1,2,2,-1
23,9,8,13,4,2,5,1,8,1,-1
20,8,11,7,5,9,0,4,4,5,-1
1,1,1,2,2,0,1,0,4,2,-1
8,2,8,3,3,6,4,3,2,0,-1
7,3,2,2,4,4,1,1,4,3,-1
14,6,9,8,2,2,2,5,1,1,-1
38,15,19,10,14,20,6,8,3,2,-1
21,3,4,5,5,3,9,5,8,4,-1
33,0,22,12,14,15,16,8,3,3,-1
11,2,3,5,3,6,3,2,2,2,-1
23,4,12,5,3,6,3,7,0,0,-1
10,8,4,2,4,7,5,2,2,1,-1
10,8,3,6,5,1,5,2,3,4,-1
11,3,7,7,5,6,7,2,0,1,-1
28,10,13,12,6,5,10,8,1,3,-1
4,2,3,2,3,0,0,4,3,2,-1
8,1,2,1,1,0,0,1,5,3,-1
7,6,7,4,4,2,5,2,2,2,-1
34,22,22,22,19,15,14,5,16,11,-1
3,1,6,2,3,8,1,0,5,3,-1
9,6,0,2,5,0,5,3,4,1,-1
7,5,2,3,3,0,0,1,0,3,-1
4,1,2,2,4,1,3,1,6,3,-1
7,7,9,10,8,7,11,5,3,6,-1
6,4,3,8,4,1,5,2,3,6,-1
4,2,3,2,7,6,9,2,8,3,-1
0,2,5,2,3,2,1,1,2,3,-1
4,2,1,4,0,2,1,3,0,1,-1
11,6,4,6,3,4,1,1,0,2,-1
13,7,5,13,6,4,5,3,14,3,-1
7,2,3,0,4,2,2,3,3,3,-1
3,6,6,3,1,0,2,3,4,3,-1
9,4,3,4,2,5,5,1,1,4,-1
11,7,4,4,4,4,0,4,6,6,-1
10,6,2,3,9,0,1,8,3,1,-1
2,4,4,3,1,2,6,1,6,3,-1
7,8,4,1,5,1,1,2,0,2,-1
7,4,6,2,3,2,3,5,4,1,-1
16,3,7,7,0,10,3,1,0,1,-1
8,4,8,2,5,3,2,1,2,6,-1
6,4,8,2,7,3,1,3,2,4,-1
2,1,2,1,1,1,3,0,7,6,-1
11,2,3,4,4,3,3,2,2,2,-1
3,4,6,3,6,4,3,1,4,4,-1
10,3,6,2,6,3,2,1,2,0,-1
4,1,6,2,5,1,3,1,4,5,-1
6,5,6,3,3,2,2,3,1,2,-1
5,4,3,4,7,0,3,0,4,4,-1
41,0,17,20,16,12,21,5,9,3,-1
7,3,2,5,1,1,4,1,2,3,-1
20,9,8,7,5,2,2,2,2,4,-1
5,1,3,3,4,1,1,1,2,2,-1
27,11,14,11,17,1,3,4,3,6,-1
4,3,2,3,4,0,0,1,2,2,-1
23,4,8,13,8,4,4,9,4,3,-1
16,6,4,11,6,3,8,5,2,6,-1
9,0,1,4,4,3,2,0,0,2,-1
36,21,20,19,18,11,3,11,6,1,-1
2,1,0,1,0,1,0,0,0,2,-1
46,20,23,30,15,8,4,8,0,5,-1
19,6,6,7,7,4,8,6,7,6,-1
21,9,7,8,5,0,4,4,7,2,-1
12,4,6,5,8,2,7,3,4,4,-1
19,9,8,13,8,3,4,2,15,2,-1
33,3,11,10,9,14,9,8,6,2,-1
16,5,4,4,5,5,3,5,1,1,-1
10,3,6,5,3,4,2,4,0,4,-1
7,4,2,4,2,3,4,1,2,1,-1
9,0,2,0,6,4,3,4,2,6,-1
7,4,3,4,2,4,7,1,0,3,-1
22,15,9,16,11,8,2,6,4,5,-1
6,3,9,4,2,1,6,1,7,4,-1
9,15,6,3,2,1,4,2,2,3,-1
5,2,2,5,4,4,4,3,3,1,-1
15,1,3,5,7,0,3,1,2,1,-1
15,3,7,5,3,6,3,0,1,3,-1
10,3,9,2,5,2,1,2,1,4,-1
11,4,3,2,5,0,4,3,1,0,-1
2,6,3,2,3,2,0,1,0,1,-1
6,7,4,4,3,3,0,3,0,3,-1
9,3,4,2,7,1,1,0,3,0,-1
21,8,9,16,13,10,7,1,3,9,-1
12,8,3,4,6,3,2,9,0,3,-1
24,9,7,8,7,11,4,7,2,3,-1
36,12,8,12,9,3,7,4,7,8,-1
9,6,3,5,4,5,3,1,0,0,-1
8,5,2,2,4,2,6,4,3,4,-1
2,2,4,2,4,0,4,6,2,6,-1
11,4,5,0,2,5,5,2,1,3,-1
10,1,1,1,2,4,2,3,3,5,-1
3,3,2,3,1,2,4,1,6,2,-1
9,3,6,3,4,7,0,2,0,2,-1
